Data Set,Avg Accuracy with BCS,Std. Dev,Avg Accuracy without BCS,Std. Dev,Original Component Size,Component size after BCS, AddedDiv
segment, 0.970563,0.012874,0.887013,0.069607,435.600000,6.600000, 0.000000
thyroid, 0.993611,0.003154,0.942083,0.003277,738.000000,16.300000, 0.000000
glass, 0.995238,0.015058,0.976407,0.046159,176.400000,15.000000, 0.000000
ecoli, 0.839037,0.036316,0.845098,0.036850,216.000000,6.400000, 0.000000
liver, 0.660924,0.091103,0.693109,0.059051,208.800000,8.200000, 0.000000
iris, 0.960000,0.046614,0.966667,0.047140,176.400000,18.400000, 0.000000
breast-cancer-wisconsin, 0.949917,0.031788,0.965714,0.027105,327.600000,23.700000, 0.000000
haberman, 0.742151,0.060595,0.728710,0.048998,216.000000,5.900000, 0.000000
sonar, 0.788095,0.104455,0.826905,0.106290,154.800000,7.500000, 0.000000
diabetic_retinopathy, 0.728051,0.055060,0.672459,0.046195,360.000000,9.600000, 0.000000
ionosphere, 0.883095,0.039371,0.911667,0.025059,183.600000,5.800000, 0.000000
wine, 0.966667,0.028689,0.977778,0.028689,190.800000,44.500000, 0.000000
segment, 0.957576,0.009956,0.838528,0.064308,442.800000,6.100000, 0.000000
vehicle, 0.794272,0.049719,0.760084,0.037985,338.400000,4.000000, 0.000000
thyroid, 0.994306,0.004266,0.942361,0.002719,745.200000,16.600000, 0.000000
ecoli, 0.845365,0.035755,0.851248,0.048083,216.000000,5.700000, 0.000000
glass, 0.966883,0.059549,0.952814,0.031759,169.200000,12.600000, 0.000000
iris, 0.960000,0.064406,0.933333,0.099381,180.000000,11.800000, 0.000000
liver, 0.666555,0.075876,0.684454,0.052667,216.000000,6.800000, 0.000000
breast-cancer-wisconsin, 0.958427,0.027661,0.967060,0.026212,334.800000,30.400000, 0.000000
haberman, 0.719032,0.077940,0.732258,0.078251,216.000000,4.100000, 0.000000
sonar, 0.711667,0.094737,0.817381,0.066383,154.800000,6.600000, 0.000000
diabetic_retinopathy, 0.740225,0.032653,0.682864,0.042801,360.000000,10.500000, 0.000000
wine, 0.966667,0.038845,0.966340,0.039066,187.200000,30.900000, 0.000000
ionosphere, 0.871587,0.056167,0.911429,0.041404,180.000000,5.700000, 0.000000
segment, 0.966234,0.006388,0.831602,0.095401,457.200000,3.900000, 0.000000
vehicle, 0.816737,0.053163,0.749398,0.061296,324.000000,3.100000, 0.000000
thyroid, 0.993750,0.002292,0.942361,0.002719,756.000000,14.400000, 0.000000
ecoli, 0.851426,0.070732,0.857219,0.058718,208.800000,6.300000, 0.000000
glass, 0.995238,0.015058,0.972078,0.039260,183.600000,19.200000, 0.000000
breast-cancer-wisconsin, 0.959979,0.016182,0.961429,0.024328,334.800000,24.100000, 0.000000
iris, 0.960000,0.046614,0.946667,0.028109,172.800000,27.700000, 0.000000
liver, 0.663361,0.070423,0.692773,0.085929,212.400000,4.700000, 0.000000
haberman, 0.692581,0.098880,0.754624,0.070252,216.000000,7.200000, 0.000000
sonar, 0.787381,0.103577,0.811905,0.077923,147.600000,5.600000, 0.000000
